provider,region_name,type,metro,country,latitude,longitude,zones
Google Cloud,Doha,Cloud Region,Doha,Qatar,25.294537,51.51939,3
Microsoft Azure,Qatar Central (Doha),Cloud Region,Doha,Qatar,25.294537,51.51939,3
Google Cloud,Damman,Cloud Region,Dammam,Saudi Arabia,26.444250,50.104671,3
Oracle Cloud,Saudi Arabia West (Jeddah),Cloud Region,Jeddah,Saudi Arabia,21.481547,39.182863,1
Alibaba Cloud,Saudi Arabia (Riyadh),Cloud Region,Riyadh,Saudi Arabia,24.647325,46.714585,2
Amazon Web Services,Saudi Arabia (Riyadh),Cloud Region,Riyadh,Saudi Arabia,24.647325,46.714585,3
Huawei Cloud,ME Riyadh,Cloud Region,Riyadh,Saudi Arabia,24.647325,46.714585,3
Microsoft Azure,Saudi Arabia East,Cloud Region,Riyadh,Saudi Arabia,24.647325,46.714585,3
Oracle Cloud,Saudi Arabia 3,Cloud Region,Riyadh,Saudi Arabia,24.647325,46.714585,1
Oracle Cloud,Saudi Arabia Central (Riyadh),Cloud Region,Riyadh,Saudi Arabia,24.647325,46.714585,1
Tencent Cloud,Middle East (Riyadh),Cloud Region,Riyadh,Saudi Arabia,24.647325,46.714585,2
Oracle Cloud,Serbia Central (Jovanovac),Cloud Region,Kragujevac,Serbia,44.049455706181824,20.94976281010028,1
Alibaba Cloud,Asia Pacific SE 1 (Singapore),Cloud Region,Singapore,Singapore,1.293873,103.853107,3
Amazon Web Services,Asia Pacific (Singapore),Cloud Region,Singapore,Singapore,1.293873,103.853107,3
Google Cloud,Singapore,Cloud Region,Singapore,Singapore,1.293873,103.853107,3
Huawei Cloud,AP-Singapore,Cloud Region,Singapore,Singapore,1.293873,103.853107,4
Microsoft Azure,Southeast Asia (Singapore),Cloud Region,Singapore,Singapore,1.293873,103.853107,3
Oracle Cloud,Singapore (Singapore),Cloud Region,Singapore,Singapore,1.293873,103.853107,2
Oracle Cloud,Singapore West,Cloud Region,Singapore,Singapore,1.293873,103.853107,1
OVH,Asia (Singapore),Cloud Region,Singapore,Singapore,1.293873,103.853107,1
Tencent Cloud,Southeast Asia Pacific (Singapore),Cloud Region,Singapore,Singapore,1.293873,103.853107,4
Amazon Web Services,Africa (Cape Town),Cloud Region,Cape Town,South Africa,-33.919086,18.421981,3
Microsoft Azure,South Africa West (Cape Town),Cloud Region,Cape Town,South Africa,-33.919086,18.421981,1
Google Cloud,Johannesburg,Cloud Region,Johannesburg,South Africa,-26.204944,28.040035,3
Huawei Cloud,AF-Johannesburg,Cloud Region,Johannesburg,South Africa,-26.204944,28.040035,3
Microsoft Azure,South Africa North (Johannesburg),Cloud Region,Johannesburg,South Africa,-26.204944,28.040035,3
Oracle Cloud,South Africa Central(Johannesburg),Cloud Region,Johannesburg,South Africa,-26.204944,28.040035,1
Microsoft Azure,Korea South (Busan),Cloud Region,Busan,South Korea,35.170283,128.999485,1
Oracle Cloud,South Korea North (Chuncheon),Cloud Region,Chuncheon,South Korea,37.89008,127.73814,1
Alibaba Cloud,Asia Pacific NE 2 (Seoul),Cloud Region,Seoul,South Korea,37.557121,126.977379,2
Amazon Web Services,Asia Pacific (Seoul),Cloud Region,Seoul,South Korea,37.557121,126.977379,4
Google Cloud,Seoul,Cloud Region,Seoul,South Korea,37.557121,126.977379,3
Microsoft Azure,Korea Central (Seoul),Cloud Region,Seoul,South Korea,37.557121,126.977379,3
Oracle Cloud,South Korea Central (Seoul),Cloud Region,Seoul,South Korea,37.557121,126.977379,1
Tencent Cloud,Northeast Asia Pacific  (Seoul),Cloud Region,Seoul,South Korea,37.557121,126.977379,2
Google Cloud,Madrid,Cloud Region,Madrid,Spain,40.420300,-3.705774,3
IBM Cloud,Madrid,Cloud Region,Madrid,Spain,40.420300,-3.705774,3
